인덱스,유형,QA
28,수상레저,"수상레저 시나리오 생성해줘
시간: 16:30
상황: 카약이 전복되어 한 명의 성인이 물에 빠졌다.
절차: 신고 접수:
신고자: 카약 강사
신고 대상: 해양 경찰 구조 센터
신고 내용: 카약 전복 사고 발생, 위치, 피해자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 사고 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 피해자 접근 및 구조)
구명조끼 착용 및 구조: 2분
피해자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 15분 이내에 피해자 구조 및 응급 처치 완료"
29,수상레저,"수상레저 시나리오 생성해줘
시간: 10:00
상황: 제트스키 탑승 중 한 명이 제트스키에서 떨어져 다리 부상을 당함.
절차: 신고 접수:
신고자: 제트스키 운영 직원
신고 대상: 해양 경찰 구조 센터
신고 내용: 다리 부상자 발생, 위치, 부상자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 4명 (구조 보트 2명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 부상자 위치까지 직선 경로
구조 작업:
구조 대원: 2명 (1명 보트 운전, 1명 부상자 접근 및 구조)
구명조끼 착용 및 구조: 3분
부상자를 보트로 옮김: 2분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 다리 부상 응급 처치, 출혈 관리
시간 소요: 4분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 3분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 20분 이내에 부상자 구조 및 응급 처치 완료"
30,수상레저,"수상레저 시나리오 생성해줘
시간: 10:30
상황: 제트스키 탑승자가 고장으로 인해 해상에서 조난 당함
절차: 신고 접수:
신고자: 다른 젯스키 탑승자
신고 대상: 해양 경찰 구조 센터
신고 내용: 조난 위치, 젯스키 탑승자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 조난 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 젯스키 접근 및 구조)
구명조끼 착용 및 구조: 2분
탑승자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 18분 이내에 조난자 구조 및 응급 처치 완료"
31,수상레저,"수상레저 시나리오 생성해줘
시간: 14:00
상황: 패러세일러가 착륙 도중 바다에 추락
절차: 신고 접수:
신고자: 패러세일링 운영자
신고 대상: 해양 경찰 구조 센터
신고 내용: 추락 위치, 패러세일러의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 추락 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 패러세일러 접근 및 구조)
구명조끼 착용 및 구조: 2분
패러세일러를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 20분 이내에 추락자 구조 및 응급 처치 완료"
32,수상레저,"수상레저 시나리오 생성해줘
시간: 16:00
상황: 바나나보트가 뒤집혀 탑승자 3명이 물에 빠짐
절차: 신고 접수:
신고자: 바나나보트 운영자
신고 대상: 해양 경찰 구조 센터
신고 내용: 위치, 탑승자들의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 바나나보트 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 탑승자 접근 및 구조)
구명조끼 착용 및 구조: 2분
탑승자들을 보트로 옮김: 2분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 18분 이내에 탑승자 구조 및 응급 처치 완료"
33,수상레저,"수상레저 시나리오 생성해줘
시간: 11:00
상황: 서핑 도중 서퍼가 큰 파도에 휩쓸려 익수
절차: 신고 접수:
신고자: 해수욕장 안전 요원
신고 대상: 해양 경찰 구조 센터
신고 내용: 익수 위치, 서퍼의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 익수 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
구명조끼 착용 및 구조: 2분
익수자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 18분 이내에 탑승자 구조 및 응급 처치 완료"
34,수상레저,"수상레저 시나리오 생성해줘
시간: 13:00
상황: 카약이 전복되어 탑승자가 물에 빠짐
절차: 신고 접수:
신고자: 카약 탑승자의 동료
신고 대상: 해양 경찰 구조 센터
신고 내용: 전복 위치, 탑승자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 전복 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 탑승자 접근 및 구조)
구명조끼 착용 및 구조: 2분
탑승자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 17분 이내에 탑승자 구조 및 응급 처치 완료"
35,수상레저,"수상레저 시나리오 생성해줘
시간: 17:00
상황: 윈드서퍼가 강풍에 의해 보드에서 떨어져 바다로 추락
절차: 신고 접수:
신고자: 해수욕장 안전 요원
신고 대상: 해양 경찰 구조 센터
신고 내용: 추락 위치, 윈드서퍼의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 추락 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 윈드서퍼 접근 및 구조)
구명조끼 착용 및 구조: 2분
윈드서퍼를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 16분 이내에 추락자 구조 및 응급 처치 완료"
36,수상레저,"수상레저 시나리오 생성해줘
시간: 15:00
상황: 스노클링 도중 한 명이 해류에 휩쓸려 실종
절차: 신고 접수:
신고자: 스노클링 동료
신고 대상: 해양 경찰 구조 센터
신고 내용: 실종 위치, 스노클러의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 실종 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 스노클러 접근 및 구조)
구명조끼 착용 및 구조: 2분
스노클러를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 17분 이내에 실종자 구조 및 응급 처치 완료"
37,수상레저,"수상레저 시나리오 생성해줘
시간: 9:30
상황: 패들보드를 타고 있던 사람이 해류에 떠밀려 바다로 나감
절차: 신고 접수:
신고자: 다른 패들보드 탑승자
신고 대상: 해양 경찰 구조 센터
신고 내용: 위치, 탑승자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 탑승자 접근 및 구조)
구명조끼 착용 및 구조: 2분
탑승자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 18분 이내에 탑승자 구조 및 응급 처치 완료"
38,수상레저,"수상레저 시나리오 생성해줘
시간: 12:00
상황: 워터스키 도중 스키어가 균형을 잃고 물에 빠짐
절차: 신고 접수:
신고자: 워터스키 운영자
신고 대상: 해양 경찰 구조 센터
신고 내용: 위치, 스키어의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 스키어 접근 및 구조)
구명조끼 착용 및 구조: 2분
스키어를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 15분 이내에 스키어 구조 및 응급 처치 완료"
39,수상레저,"수상레저 시나리오 생성해줘
시간: 18:00
상황: 수상 자전거 탑승자가 균형을 잃고 물에 빠짐
절차: 신고 접수:
신고자: 수상 자전거 운영자
신고 대상: 해양 경찰 구조 센터
신고 내용: 위치, 탑승자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 탑승자 접근 및 구조)
구명조끼 착용 및 구조: 2분
탑승자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 16분 이내에 탑승자 구조 및 응급 처치 완료"
40,수상레저,"수상레저 시나리오 생성해줘
시간: 10:30
상황: 제트스키를 타던 사람이 충돌로 인해 바다로 떨어짐
절차: 신고 접수:
신고자: 제트스키 동료
신고 대상: 해양 경찰 구조 센터
신고 내용: 충돌 위치, 탑승자의 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 충돌 위치까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 탑승자 접근 및 구조)
구명조끼 착용 및 구조: 2분
탑승자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 15분 이내에 탑승자 구조 및 응급 처치 완료"
41,불법,"불법 시나리오 생성해줘
시간: 2:30
상황: 한 남성이 해변에서 금지된 상품을 배로 밀수하려다 적발됨.
절차: 1.신고 접수:
-신고자: 해안 경비대
-신고 대상: 해양 경찰
-신고 내용: 의심스러운 선박 활동, 밀수품 추정
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 4명
-준비 작업: 밀수 단속 장비 준비, 출동 경로 설정
-시간 소요: 4분
3.현장 도착:
-도착 시간: 15분 이내
-출동 경로: 해안 경비대 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 4명
-작업 내용: 밀수품 압수, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 밀수 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 26분 이내에 밀수 활동 중지 및 관련자 체포"
42,불법,"불법 시나리오 생성해줘
시간: 4:45
상황: 해변에서 두 명의 남성이 마약 거래를 하다가 발견됨.
절차: 1.신고 접수:
-신고자: 해변 순찰 요원
-신고 대상: 해양 경찰
-신고 내용: 마약 거래 의심 활동
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 6명
-준비 작업: 마약 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 12분 이내
-출동 경로: 순찰 요원 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 6명
-작업 내용: 마약 압수, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 마약 관련자 조사 및 법적 조치
-시간 소요: 7분
목표: 총 28분 이내에 마약 거래 중지 및 관련자 체포."
43,불법,"불법 시나리오 생성해줘
시간: 6:00
상황: 금지된 지역에서 불법 어업 활동이 발견됨.
절차: 1.신고 접수:
-신고자: 어민
-신고 대상: 해양 경찰
-신고 내용: 금지된 어업 활동 보고
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 어업 단속 장비 준비, 출동 경로 설정
-시간 소요: 4분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 어민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 어업 장비 압수, 관련자 체포
-시간 소요: 12분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 어업 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 28분 이내에 불법 어업 중지 및 관련자 체포"
44,불법,"불법 시나리오 생성해줘
시간: 11:15
상황: 해변에서 불법 캠핑이 발견됨.
절차: 1.신고 접수:
-신고자: 해변 관리인
-신고 대상: 해양 경찰
-신고 내용: 불법 캠핑 활동
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 3명
-준비 작업: 캠핑 단속 장비 준비, 출동 경로 설정
-시간 소요: 2분
3.현장 도착:
-도착 시간: 8분 이내
-출동 경로: 관리인 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 3명
-작업 내용: 캠핑 장비 압수, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 캠핑 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 21분 이내에 불법 캠핑 중지 및 관련자 체포"
45,불법,"불법 시나리오 생성해줘
시간: 13:30
상황: 해안가에서 무단으로 모래를 채취하는 무리가 발견됨.
절차: 1.신고 접수:
-신고자: 인근 주민
-신고 대상: 해양 경찰
-신고 내용: 불법 모래 채취
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 4명
-준비 작업: 채취 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 주민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 4명
-작업 내용: 채취 장비 압수, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 모래 채취 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 25분 이내에 불법 모래 채취 중지 및 관련자 체포"
46,불법,"불법 시나리오 생성해줘
시간: 8:15
상황: 한 남성이 해안에서 불법으로 낚시를 하고 있음.
절차: 1.신고 접수:
-신고자: 해양 보호구역 관리인
-신고 대상: 해양 경찰
-신고 내용: 불법 낚시 활동
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 4명
-준비 작업: 낚시 단속 장비 준비, 출동 경로 설정
-시간 소요: 2분
3.현장 도착:
-도착 시간: 7분 이내
-출동 경로: 관리인 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 4명
-작업 내용: 낚시 장비 압수, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 낚시 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 19분 이내에 불법 낚시 중지 및 관련자 체포."
47,불법,"불법 시나리오 생성해줘
시간: 17:30
상황: 해안에서 불법으로 음주 파티를 열고 있음.
절차: 1.신고 접수:
-신고자: 인근 주민
-신고 대상: 해양 경찰
-신고 내용: 음주 파티 소음
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 6명
-준비 작업: 소음 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 주민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 6명
-작업 내용: 음주 파티 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 음주 파티 관련자 조사 및 법적 조치
-시간 소요: 7분
목표: 총 26분 이내에 불법 음주 파티 중지 및 관련자 체포."
48,불법,"불법 시나리오 생성해줘
시간: 19:00
상황: 해변에서 불법으로 쓰레기를 투기하고 있음.
절차: 1.신고 접수:
-신고자: 관광객
-신고 대상: 해양 경찰
-신고 내용: 불법 쓰레기 투기 활동
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 4명
-준비 작업: 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 12분 이내
-출동 경로: 관광객 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 4명
-작업 내용: 쓰레기 수거 및 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 쓰레기 투기 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 28분 이내에 불법 쓰레기 투기 중지 및 관련자 체포."
49,불법,"불법 시나리오 생성해줘
시간: 9:30
상황: 해안가에서 불법 도박이 발견됨.
절차: 1.신고 접수:
-신고자: 해변 순찰 요원
-신고 대상: 해양 경찰
-신고 내용: 불법 도박 활동
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 도박 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 순찰 요원 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 도박 장비 압수, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 도박 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 29분 이내에 불법 도박 중지 및 관련자 체포."
50,불법,"불법 시나리오 생성해줘
시간: 1:00
상황: 한 남성이 해안가의 개인 주택에 무단으로 침입함.
절차: 1.신고 접수:
-신고자: 주택 소유자
-신고 대상: 해양 경찰
-신고 내용: 무단 침입자 발생
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 4명
-준비 작업: 침입 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 12분 이내
-출동 경로: 주택 소유자 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 4명
-작업 내용: 침입자 체포 및 조사
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 2명
-조치 내용: 무단 침입자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 33분 이내에 무단 침입자 체포 및 법적 조치 완료."
51,불법,"불법 시나리오 생성해줘
시간: 8:00
상황: 한 무리가 해양 생태계를 파괴하고 있음.
절차: 1.신고 접수:
-신고자: 해양 환경 단체
-신고 대상: 해양 경찰
-신고 내용: 해양 환경 파괴 활동
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 환경 보호 장비 준비, 출동 경로 설정
-시간 소요: 4분
3.현장 도착:
-도착 시간: 15분 이내
-출동 경로: 환경 단체 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 파괴 활동 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 환경 파괴 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 37분 이내에 해양 환경 파괴 중지 및 관련자 체포."
52,불법,"불법 시나리오 생성해줘
시간: 14:30
상황: 해양 보호구역에서 불법으로 제트스키를 타고 있음.
절차: 1.신고 접수:
-신고자: 해양 보호구역 관리인
-신고 대상: 해양 경찰
-신고 내용: 불법 해양 스포츠 활동
-시간 소요: 1분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 해양 스포츠 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 관리인 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 해양 스포츠 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 불법 해양 스포츠 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 29분 이내에 불법 해양 스포츠 중지 및 관련자 체포."
53,불법,"불법 시나리오 생성해줘
시간: 16:00
상황: 한 무리가 보호구역 내에서 불법으로 해양 생물을 포획하고 있음.
절차: 1.신고 접수:
-신고자: 해양 생물 보호 단체
-신고 대상: 해양 경찰
-신고 내용: 불법 해양 생물 포획
2.시간 소요: 2분
-초기 대응:
-출동 인원: 해양 경찰 6명
-준비 작업: 포획 단속 장비 준비, 출동 경로 설정
-시간 소요: 4분
3.현장 도착:
-도착 시간: 12분 이내
-출동 경로: 보호 단체 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 6명
-작업 내용: 포획 중지, 해양 생물 방생, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 포획 관련자 조사 및 법적 조치
-시간 소요: 5분
목표: 총 33분 이내에 불법 해양 생물 포획 중지 및 관련자 체포."
54,불법,"불법 시나리오 생성해줘
시간: 10:00
상황: 해안가에서 무단으로 해양 구조물을 건설하고 있음.
절차: 1.신고 접수:
-신고자: 인근 주민
-신고 대상: 해양 경찰
-신고 내용: 불법 해양 구조물 건설
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 건설 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 12분 이내
-출동 경로: 주민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 건설 작업 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 건설 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 33분 이내에 불법 해양 구조물 건설 중지 및 관련자 체포."
55,불법,"불법 시나리오 생성해줘
시간: 3:30
상황: 해안가에서 밀입국 시도가 포착됨.
절차: 1.신고 접수:
-신고자: 해안 경비대
-신고 대상: 해양 경찰
-신고 내용: 의심스러운 선박 활동
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 6명
-준비 작업: 밀입국 단속 장비 준비, 출동 경로 설정
-시간 소요: 4분
3.현장 도착:
-도착 시간: 15분 이내
-출동 경로: 경비대 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 6명
-작업 내용: 밀입국 시도 중지, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 밀입국 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 37분 이내에 밀입국 시도 중지 및 관련자 체포."
56,불법,"불법 시나리오 생성해줘
시간: 5:00
상황: 해양 보호구역에서 불법으로 어망을 설치하고 있음
절차: 1.신고 접수:
-신고자: 어민
-신고 대상: 해양 경찰
-신고 내용: 불법 어망 설치 활동
-시간 소요: 2분
2.초기 대응:
-출동 인원: 해양 경찰 5명
-준비 작업: 어망 단속 장비 준비, 출동 경로 설정
-시간 소요: 3분
3.현장 도착:
-도착 시간: 10분 이내
-출동 경로: 어민 위치에서 현장까지 직행
4.단속 작업:
-단속 인원: 해양 경찰 5명
-작업 내용: 어망 제거, 관련자 체포
-시간 소요: 10분
5.후속 조치:
-조치 인원: 해양 경찰 3명
-조치 내용: 어망 설치 관련자 조사 및 법적 조치
-시간 소요: 6분
목표: 총 31분 이내에 불법 어망 설치 중지 및 관련자 체포"
